,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_Group
25,Devin Booker,SG,25.0,10,10,36.6,7.9,17.5,0.451,2.8,6.5,0.431,5.1,11.0,0.464,0.531,4.7,5.3,0.887,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,Middle-aged
26,Chris Boucher,PF,29.0,6,0,21.7,4.3,7.0,0.619,1.0,2.5,0.4,3.3,4.5,0.741,0.69,1.5,1.7,0.9,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2,Middle-aged
28,Mikal Bridges,SF,25.0,13,13,38.5,5.1,10.6,0.478,1.0,2.5,0.394,4.1,8.1,0.505,0.525,2.2,2.3,0.933,0.9,3.8,4.7,2.8,1.1,1.0,0.8,2.4,13.3,Middle-aged
30,Dillon Brooks,SF,26.0,11,11,30.5,5.5,15.6,0.349,2.3,6.5,0.347,3.2,9.1,0.35,0.422,1.5,2.3,0.64,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6,Middle-aged
31,Bruce Brown,SF,25.0,4,4,34.8,5.3,9.3,0.568,1.5,3.5,0.429,3.8,5.8,0.652,0.649,2.0,2.5,0.8,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4.0,14.0,Middle-aged
32,Jaylen Brown,SF,25.0,24,24,38.3,8.2,17.5,0.47,2.5,6.7,0.373,5.7,10.8,0.531,0.542,4.2,5.5,0.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3.0,23.1,Middle-aged
33,Sterling Brown,SG,26.0,9,0,2.9,0.3,1.1,0.3,0.0,0.4,0.0,0.3,0.7,0.5,0.3,0.6,0.8,0.714,0.1,0.8,0.9,0.3,0.4,0.2,0.3,0.0,1.2,Middle-aged
34,Troy Brown Jr.,SF,22.0,3,0,12.3,1.7,5.7,0.294,0.7,3.7,0.182,1.0,2.0,0.5,0.353,0.0,0.0,0.3820000000000001,0.3,2.3,2.7,1.0,0.7,0.0,1.0,0.7,4.0,Young
35,Jalen Brunson,PG,25.0,18,18,34.9,8.1,17.3,0.466,1.4,4.2,0.347,6.6,13.1,0.504,0.508,4.0,5.0,0.8,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6,Middle-aged
36,Reggie Bullock,SF,30.0,18,18,39.3,3.4,8.4,0.404,2.9,7.3,0.397,0.5,1.1,0.45,0.576,0.9,1.0,0.889,0.4,4.1,4.6,1.7,1.2,0.1,0.4,2.7,10.6,Middle-aged
