,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_Group
152,Georges Niang,PF,28.0,12,0,16.5,1.7,4.0,0.417,1.3,3.6,0.372,0.3,0.4,0.8,0.583,0.2,0.2,1.0,0.3,1.2,1.5,0.9,0.3,0.0,0.6,2.5,4.8,Middle-aged
154,Jaylen Nowell,SG,22.0,1,0,12.0,3.0,10.0,0.3,0.0,5.0,0.0,3.0,5.0,0.6,0.3,0.0,0.0,0.3820000000000001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,Young
155,Frank Ntilikina,PG,23.0,12,0,10.4,0.7,2.0,0.333,0.5,1.7,0.3,0.2,0.3,0.5,0.458,0.1,0.1,1.0,0.2,0.8,1.0,0.8,0.7,0.1,0.5,1.6,1.9,Young
157,Royce O'Neale,SF,28.0,6,6,31.3,2.3,5.8,0.4,1.2,4.2,0.28,1.2,1.7,0.7,0.5,0.3,0.3,1.0,1.0,4.7,5.7,1.5,0.5,0.2,0.5,2.7,6.2,Middle-aged
159,Onyeka Okongwu,C,21.0,5,1,21.6,1.8,3.2,0.563,0.0,0.0,0.0,1.8,3.2,0.563,0.563,1.6,2.0,0.8,2.2,3.2,5.4,0.4,0.8,0.8,0.8,3.8,5.2,Young
160,Victor Oladipo,SG,29.0,15,1,24.5,3.3,9.1,0.368,1.1,4.1,0.274,2.2,4.9,0.446,0.43,2.8,3.5,0.792,0.3,3.1,3.4,2.1,1.3,0.3,1.7,1.9,10.6,Middle-aged
161,Eric Paschall,PF,25.0,4,0,6.0,0.8,1.5,0.5,0.3,0.5,0.5,0.5,1.0,0.5,0.583,0.3,0.3,1.0,0.3,1.0,1.3,0.0,0.3,0.0,0.0,0.8,2.0,Middle-aged
162,Chris Paul,PG,36.0,13,13,34.5,6.7,11.9,0.561,1.5,3.8,0.388,5.2,8.2,0.642,0.623,2.7,2.8,0.946,0.5,3.6,4.2,8.3,1.5,0.2,2.4,3.1,17.5,Old
163,Cameron Payne,PG,27.0,13,0,13.2,1.7,5.7,0.297,0.4,2.3,0.167,1.3,3.4,0.386,0.331,0.4,0.5,0.833,0.2,1.4,1.5,2.1,0.5,0.1,1.0,1.9,4.2,Middle-aged
164,Elfrid Payton,PG,27.0,2,0,4.0,1.0,1.5,0.667,0.0,0.0,0.0,1.0,1.5,0.667,0.667,0.0,0.0,0.3820000000000001,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,Middle-aged
165,Gary Payton II,PG,29.0,12,2,16.9,2.4,3.7,0.659,0.7,1.3,0.533,1.8,2.4,0.724,0.75,1.0,1.5,0.667,1.1,2.0,3.1,1.3,1.2,0.6,0.5,1.9,6.5,Middle-aged
166,Jordan Poole,SG,22.0,22,5,27.5,5.9,11.5,0.508,2.3,5.8,0.391,3.6,5.7,0.627,0.606,3.0,3.2,0.915,0.5,2.4,2.8,3.8,0.8,0.4,2.4,2.8,17.0,Young
167,Otto Porter Jr.,PF,28.0,19,3,19.5,2.0,4.1,0.494,1.0,2.5,0.404,1.0,1.6,0.633,0.617,0.4,0.5,0.778,0.6,2.8,3.4,1.8,0.9,0.3,0.6,1.8,5.4,Middle-aged
168,Bobby Portis,C,26.0,12,5,24.8,4.0,9.6,0.417,1.2,3.9,0.298,2.8,5.7,0.5,0.478,1.4,1.8,0.773,2.1,7.9,10.0,0.8,0.4,0.3,1.3,2.2,10.6,Middle-aged
169,Dwight Powell,C,30.0,18,18,13.8,1.2,1.9,0.629,0.0,0.1,0.0,1.2,1.8,0.667,0.629,0.8,1.3,0.609,0.9,1.7,2.6,0.2,0.2,0.3,0.5,2.2,3.2,Middle-aged
170,Taurean Prince,PF,27.0,5,0,13.0,2.0,5.4,0.37,0.8,2.8,0.286,1.2,2.6,0.462,0.444,1.2,1.4,0.857,0.2,1.4,1.6,1.2,0.4,0.2,0.8,1.0,6.0,Middle-aged
171,Payton Pritchard,SG,24.0,24,0,12.9,1.8,4.3,0.422,1.0,3.0,0.333,0.8,1.3,0.633,0.539,0.2,0.3,0.667,0.4,1.5,1.9,1.6,0.3,0.1,0.4,1.0,4.8,Young
172,Paul Reed,C,22.0,12,0,11.7,1.6,3.0,0.528,0.2,0.3,0.667,1.4,2.8,0.515,0.556,0.3,0.6,0.571,1.8,2.0,3.8,0.8,0.8,0.5,0.8,2.4,3.7,Young
173,Naz Reid,C,22.0,5,0,10.8,1.4,3.4,0.412,0.6,1.4,0.429,0.8,2.0,0.4,0.5,1.4,1.4,1.0,0.4,2.4,2.8,0.0,0.2,1.2,1.0,2.8,4.8,Young
174,Austin Rivers,SG,29.0,5,0,21.6,1.6,3.6,0.444,0.8,2.4,0.333,0.8,1.2,0.667,0.556,0.2,0.2,1.0,0.0,0.6,0.6,1.2,1.4,0.2,0.8,3.0,4.2,Middle-aged
175,Duncan Robinson,SG,27.0,13,0,12.2,1.9,4.4,0.439,1.4,3.6,0.383,0.5,0.8,0.7,0.596,0.4,0.5,0.833,0.2,1.6,1.8,0.4,0.3,0.1,0.2,1.7,5.6,Middle-aged
176,D'Angelo Russell,PG,25.0,6,6,32.7,4.0,12.0,0.333,2.0,5.2,0.387,2.0,6.8,0.293,0.417,2.0,2.7,0.75,0.0,2.5,2.5,6.7,1.5,0.0,2.8,2.8,12.0,Middle-aged
177,Landry Shamet,SG,24.0,12,0,16.0,1.6,4.0,0.396,0.8,2.2,0.346,0.8,1.8,0.455,0.49,0.4,0.6,0.714,0.3,1.4,1.7,1.3,0.5,0.0,0.6,0.8,4.3,Young
179,Pascal Siakam,PF,27.0,6,6,43.3,8.5,17.8,0.477,0.7,2.8,0.235,7.8,15.0,0.522,0.495,5.2,6.0,0.861,1.3,5.8,7.2,5.8,1.2,1.0,2.2,4.0,22.8,Middle-aged
180,Marcus Smart,PG,27.0,21,21,36.2,5.4,13.3,0.405,2.3,6.5,0.35,3.1,6.8,0.458,0.491,2.4,3.0,0.806,1.0,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,Middle-aged
181,Jaden Springer,SG,19.0,5,0,2.6,0.6,1.2,0.5,0.0,0.2,0.0,0.6,1.0,0.6,0.5,0.0,0.0,0.3820000000000001,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.2,1.2,Young
183,Max Strus,SF,25.0,18,18,29.1,3.8,10.1,0.374,2.6,7.9,0.331,1.2,2.2,0.525,0.503,0.7,1.0,0.722,0.8,3.2,4.1,2.1,0.8,0.4,1.1,3.1,10.9,Middle-aged
184,Jayson Tatum,SF,23.0,24,24,41.0,8.4,19.7,0.426,3.2,8.2,0.393,5.2,11.5,0.449,0.507,5.7,7.1,0.8,1.0,5.7,6.7,6.2,1.2,0.9,4.2,3.0,25.6,Young
186,Daniel Theis,C,29.0,16,5,12.5,1.9,3.2,0.588,0.2,0.9,0.214,1.7,2.3,0.73,0.618,0.4,0.5,0.75,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,Middle-aged
188,Klay Thompson,SG,31.0,22,22,36.0,7.2,16.7,0.429,3.5,9.1,0.385,3.7,7.6,0.482,0.534,1.2,1.4,0.867,0.3,3.6,3.9,2.3,1.1,0.7,1.3,2.1,19.0,Old
189,Tristan Thompson,PF,30.0,5,0,7.6,0.4,1.0,0.4,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.0,0.0,0.3820000000000001,0.4,1.2,1.6,0.4,0.2,0.0,1.0,0.8,0.8,Middle-aged
190,Matisse Thybulle,SG,24.0,9,0,15.2,1.2,2.7,0.458,0.4,1.6,0.286,0.8,1.1,0.7,0.542,0.1,0.3,0.3820000000000001,0.2,0.8,1.0,0.4,0.8,0.8,0.2,1.7,3.0,Young
192,Juan Toscano-Anderson,SF,28.0,14,0,3.5,0.3,0.7,0.4,0.1,0.4,0.4,0.1,0.4,0.4,0.5,0.1,0.2,0.3820000000000001,0.0,0.7,0.7,0.6,0.1,0.1,0.6,0.2,0.8,Middle-aged
193,Karl-Anthony Towns,C,26.0,6,6,37.0,6.5,13.3,0.488,1.7,3.7,0.455,4.8,9.7,0.5,0.55,7.2,8.3,0.86,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8,Middle-aged
194,Gary Trent Jr.,SG,23.0,6,6,33.2,5.2,13.7,0.378,2.2,6.5,0.333,3.0,7.2,0.419,0.457,2.8,3.2,0.895,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3,Young
195,P.J. Tucker,PF,36.0,18,18,28.3,3.0,6.1,0.495,1.3,2.8,0.451,1.7,3.2,0.534,0.601,0.6,0.9,0.688,1.9,3.7,5.7,1.8,0.8,0.3,0.7,2.8,7.9,Old
196,Rayjon Tucker,SG,24.0,8,0,2.4,0.1,0.4,0.333,0.0,0.1,0.0,0.1,0.3,0.5,0.333,0.0,0.0,0.3820000000000001,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.3,0.3,Young
197,Jonas Valan?i?nas,C,29.0,6,6,29.2,5.5,11.3,0.485,0.2,1.0,0.167,5.3,10.3,0.516,0.493,3.3,4.3,0.769,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5,Middle-aged
198,Jarred Vanderbilt,PF,22.0,6,6,21.5,2.2,4.5,0.481,0.0,0.0,0.0,2.2,4.5,0.481,0.481,1.2,1.7,0.7,2.0,5.2,7.2,0.7,1.2,0.3,0.8,2.7,5.5,Young
199,Fred VanVleet,PG,27.0,4,4,35.0,4.8,13.5,0.352,3.0,9.0,0.333,1.8,4.5,0.389,0.463,1.3,1.5,0.833,0.5,2.5,3.0,6.3,1.8,1.0,1.0,3.0,13.8,Middle-aged
201,Gabe Vincent,PG,25.0,18,8,23.5,2.8,7.3,0.382,1.4,4.5,0.309,1.4,2.8,0.5,0.477,1.1,1.1,0.95,0.2,1.8,1.9,3.2,0.8,0.3,1.4,2.3,8.0,Middle-aged
202,Nikola Vu?evi?,C,31.0,5,5,36.2,8.0,18.2,0.44,2.6,8.4,0.31,5.4,9.8,0.551,0.511,0.8,1.0,0.8,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4,Old
203,Ish Wainright,PF,27.0,7,0,3.7,0.7,1.7,0.417,0.4,0.9,0.5,0.3,0.9,0.333,0.542,0.0,0.0,0.3820000000000001,1.0,0.6,1.6,0.1,0.1,0.1,0.4,0.3,1.9,Middle-aged
204,Yuta Watanabe,SF,27.0,4,0,2.5,0.5,1.5,0.333,0.0,0.3,0.0,0.5,1.3,0.4,0.333,0.0,0.0,0.3820000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,Middle-aged
205,Coby White,PG,21.0,5,0,19.6,3.0,9.0,0.333,1.6,5.8,0.276,1.4,3.2,0.438,0.422,0.8,1.0,0.8,0.0,3.4,3.4,1.8,0.2,0.0,1.2,1.0,8.4,Young
206,Derrick White,SG,27.0,23,3,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4.0,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,Middle-aged
207,Hassan Whiteside,C,32.0,6,0,10.8,0.8,2.0,0.417,0.0,0.0,0.0,0.8,2.0,0.417,0.417,0.2,0.7,0.3820000000000001,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.5,1.8,Old
208,Andrew Wiggins,SF,26.0,22,22,34.9,6.5,13.9,0.469,1.6,4.8,0.333,4.9,9.1,0.54,0.526,1.9,3.0,0.646,2.5,5.0,7.5,1.8,1.0,1.0,1.4,2.5,16.5,Middle-aged
209,Grant Williams,PF,23.0,24,5,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,Young
210,Patrick Williams,PF,20.0,5,5,30.6,4.4,9.4,0.468,1.4,4.2,0.333,3.0,5.2,0.577,0.543,1.6,2.2,0.727,1.2,4.2,5.4,0.8,1.0,0.6,1.4,3.0,11.8,Young
211,Robert Williams,C,24.0,17,15,23.2,3.1,4.6,0.679,0.0,0.1,0.0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,Young
212,Ziaire Williams,SF,20.0,10,1,16.8,2.3,5.2,0.442,1.1,3.6,0.306,1.2,1.6,0.75,0.548,1.2,1.3,0.923,0.4,1.2,1.6,0.5,0.5,0.0,0.2,1.4,6.9,Young
213,Delon Wright,SG,29.0,5,0,27.4,3.0,5.8,0.517,1.0,2.6,0.385,2.0,3.2,0.625,0.603,1.2,1.8,0.667,2.2,2.6,4.8,2.8,0.8,0.2,1.0,0.4,8.2,Middle-aged
214,Thaddeus Young,PF,33.0,6,0,14.5,1.5,3.0,0.5,0.2,1.2,0.143,1.3,1.8,0.727,0.528,0.2,0.7,0.3820000000000001,1.2,1.8,3.0,1.7,0.8,0.2,0.5,1.3,3.3,Old
215,Trae Young,PG,23.0,5,5,37.2,4.4,13.8,0.319,1.4,7.6,0.184,3.0,6.2,0.484,0.37,5.2,6.6,0.788,1.0,4.0,5.0,6.0,0.6,0.0,6.2,2.6,15.4,Young
216,Omer Yurtseven,C,23.0,9,0,4.2,1.3,2.0,0.667,0.0,0.2,0.0,1.3,1.8,0.75,0.667,0.1,0.3,0.3820000000000001,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,Young
